business_name,address,city,state,portfolio_size,investor_score
ADELINE PROPERTY INVESTMENTS LLC,ATTN JOHN DEWITT PO BOX 2024,Columbus,OH,13,83
HPA III ACQUISITIONS 1 LLC,PO BOX 4900,Columbus,OH,12,81
NELLAI ONE HOMES LLC,2246 S HAMILTON RD STE 101,Columbus,OH,12,81
GREEN HORSE GROUP LLC,PO BOX 30892,Columbus,OH,12,81
KFC US PROPERTIES INC,3304 ESSEX DR,Columbus,OH,12,80
HOTZ PROPERTIES LLC,PO BOX 9202,Columbus,OH,11,81
JRM RENTALS LLC,PO BOX 30382,Columbus,OH,11,83
GCH RENTALS LLC,PO BOX 9202,Columbus,OH,10,83
GCH HOMES LLC,PO BOX 9202,Columbus,OH,10,83
FITZGERALD HOMES LLC,PO BOX 9202,Columbus,OH,10,83
ONE 1301 HOLDINGS LLC,PO BOX 2018,Columbus,OH,10,83
TRUE NORTH PROPERTY OWNER C LLC,1134 W HUBBARD ST FL3,Columbus,OH,10,83
PACIFIC COAST CAPITAL INVESTORS LLC,1575 BAYSHORE HWY STE 100,Columbus,OH,10,81
REX RESIDENTIAL PROPERTY OWNER A LLC,16220 N SCOTTSDALE RD STE 650,Columbus,OH,10,81
KSI REALTY GROUP LLC,5338 STOCKTON CT,Columbus,OH,10,81
