owner_name,owner_address,mailing_address,portfolio_size,investor_score
APAAI HOLDINGS LLC,PO BOX 1032,1123 PARK VIEW DR,15,83
COLUMBUS CAPITAL PORTFOLIO LLC,2431 ATLANTIC AVE STE 1,PO BOX 9222,15,81
TAP RENTALS LLC,PO BOX 349,2969 JOHNSTOWN ALEXANDRIA RD,14,83
BALKAN PROPERTIES 1 LLC,PO BOX 1520,PO BOX 820,14,83
BUSCH HOLDINGS LLC,PO BOX 933,PO BOX 1255,14,83
ONE 94 HOLDINGS LLC,850 TWIN RIVERS DR PO BOX 2018,PO BOX 2018,14,83
SGE HOLDINGS LLC,6385 SHIER RINGS ROAD STE 4,901 CORPORATE CENTER DR,13,81
BLUE HORIZON PROPERTIES GROUP LLC,6500 EMERALD PKWY STE 100,901 CORPORATE CENTER DR,13,81
HEALTHY RENTAL HOMES V LLC,PO BOX 6063,PO BOX 77499,13,83
ADELINE PROPERTY INVESTMENTS LLC,PO BOX 2024,ATTN JOHN DEWITT PO BOX 2024,13,83
HPA III ACQUISITIONS 1 LLC,120 S RIVERSIDE PLAZA SUITE 2000,PO BOX 4900,12,81
NELLAI ONE HOMES LLC,2246 S HAMILTON RD STE 101,2246 S HAMILTON RD STE 101,12,81
GREEN HORSE GROUP LLC,6545 MARKET AV N STE 100,PO BOX 30892,12,81
KFC US PROPERTIES INC,PO BOX 35370,3304 ESSEX DR,12,80
HOTZ PROPERTIES LLC,6605 LONGSHORE ST STE 240 # 352,PO BOX 9202,11,81
JRM RENTALS LLC,PO BOX 30382,PO BOX 30382,11,83
GCH RENTALS LLC,PO BOX 123,PO BOX 9202,10,83
GCH HOMES LLC,PO BOX 123,PO BOX 9202,10,83
FITZGERALD HOMES LLC,PO BOX 188,PO BOX 9202,10,83
ONE 1301 HOLDINGS LLC,850 TWIN RIVERS DR PO BOX 2018,PO BOX 2018,10,83
TRUE NORTH PROPERTY OWNER C LLC,PO BOX 4090,1134 W HUBBARD ST FL3,10,83
PACIFIC COAST CAPITAL INVESTORS LLC,1575 BAYSHORE HIGHWAY SUITE 100,1575 BAYSHORE HWY STE 100,10,81
REX RESIDENTIAL PROPERTY OWNER A LLC,3500  PARK CENTER DR STE 100,16220 N SCOTTSDALE RD STE 650,10,81
KSI REALTY GROUP LLC,1820 NORTHWEST BLVD STE 200,5338 STOCKTON CT,10,81
