owner_name,portfolio_size,total_market_value,owner_address,mailing_address,entity_type,is_investor_entity,has_investor_name,has_po_box,has_business_address,portfolio_category,is_portfolio_investor,sample_properties,absentee_ratio,investor_score,investor_tier,score_reasons,tier_description
DF PREMIER HOMES LLC,68,11256100.0,"320 CENTRAL  AVE., #211",PO BOX 340650,llc,True,True,False,False,institutional,True,"['1123 1129 CHAMPION AV', '782 784 S OHIO AV', '884 886 E LIVINGSTON AV', '1003 1005 E LIVINGSTON AV', '508 WOODROW AV']",0.9852941176470589,80,tier_1,"LLC entity (high investor probability); Institutional investor (68 properties); 80%+ properties are absentee-owned; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
ELKAH BROTHERS REALTY LLC,60,916500.0,PO BOX 247555,148 CYPRESS ST SW,llc,True,True,True,False,institutional,True,"['0 WINDSOR AV', '0 WINDSOR AV', '0 WINDSOR AV', '0 WINDSOR AV', '0 WINDSOR AV']",1.0,86,tier_1,"LLC entity (high investor probability); Institutional investor (60 properties); 80%+ properties are absentee-owned; PO Box address; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
GDT PROPERTIES LLC,54,3248400.0,3500 CEMETERY RD,3500 CEMETERY ROAD,llc,True,True,False,False,institutional,True,"['5531 WELLINGTON WOODS BL', '5533 WELLINGTON WOODS BL', '5535 WELLINGTON WOODS BL', '5537 WELLINGTON WOODS BL', '5541 WELLINGTON WOODS BL']",1.0,80,tier_1,"LLC entity (high investor probability); Institutional investor (54 properties); 80%+ properties are absentee-owned; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
OLENTANGY OWNERSHIP HOLDING CO LLC,53,0.0,380 POLARIS PKWY STE 135,,corporation,True,True,False,True,institutional,True,"['4577 OLENTANGY RIVER RD G1', '4577 OLENTANGY RIVER RD 101', '4577 OLENTANGY RIVER RD 201', '4577 OLENTANGY RIVER RD G2', '4577 OLENTANGY RIVER RD 102']",1.0,81,tier_1,"Corporation (likely investor); Institutional investor (53 properties); 80%+ properties are absentee-owned; Business address (suite/floor); Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
COMMUNITY PROPERTIES REVITALIZATION I LLC,53,8888300.0,671 S HIGH ST # 6,2001 ROSS AVENUE STE 1900,llc,True,True,False,False,institutional,True,"['1404 1410 N FOURTH ST', '911 FRANKLIN AV', '766 776 KERR ST', '1022 1030 E SPRING ST', '287 293 E NINTH AV']",1.0,80,tier_1,"LLC entity (high investor probability); Institutional investor (53 properties); 80%+ properties are absentee-owned; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
ELIM ESTATES HOMES LLC,49,1660200.0,3443 AGLER RD,160 W MAIN ST STE 200,llc,True,True,False,False,institutional,True,"['2963 ELIM ESTATES DR', '2969 ELIM ESTATES DR', '2975 ELIM ESTATES DR', '2981 ELIM ESTATES DR', '2987 ELIM ESTATES DR']",1.0,80,tier_1,"LLC entity (high investor probability); Institutional investor (49 properties); 80%+ properties are absentee-owned; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
WINDWOOD PROPERTIES LLC,41,2773300.0,7118 STERTZ RD,7118 STEITZ ROAD,llc,True,True,False,False,institutional,True,"['380 WELLINGTON WOODS CT', '381 WELLINGTON WOODS CT', '382 WELLINGTON WOODS CT', '383 WELLINGTON WOODS CT', '384 WELLINGTON WOODS CT']",1.0,80,tier_1,"LLC entity (high investor probability); Institutional investor (41 properties); 80%+ properties are absentee-owned; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
MARBLE PROPERTIES LLC,41,5639500.0,PO BOX 80,PO BOX 820,llc,True,True,True,False,institutional,True,"['247 WOODROW AV', '365 NAPOLEON AV', '0 ELAINE RD REAR', '1517 ELAINE RD', '1560 HUXLEY DR']",0.7317073170731707,81,tier_1,"LLC entity (high investor probability); Institutional investor (41 properties); 50%+ properties are absentee-owned; PO Box address; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
WHITTIER LANDING HOMES LLC,41,2805300.0,3443 AGLER RD,370 S 5TH ST SUITE 2,llc,True,True,False,False,institutional,True,"['898 S TWENTY SECOND ST', '853 OAKWOOD AV', '874 S GILBERT ST', '1110 STANLEY AV', '871 S GILBERT ST']",1.0,80,tier_1,"LLC entity (high investor probability); Institutional investor (41 properties); 80%+ properties are absentee-owned; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
WEINLAND PARK HOMES LLC,40,3091000.0,5309 TRANSPORTATION BLVD,PO BOX 2418,llc,True,True,False,False,institutional,True,"['1425 N FIFTH ST', '1470 N SIXTH ST', '1265 SIXTH ST', '1267 SIXTH ST', '1438 N FIFTH ST']",1.0,80,tier_1,"LLC entity (high investor probability); Institutional investor (40 properties); 80%+ properties are absentee-owned; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
BOULEVARD HOMES LLC,40,2732900.0,5309 TRANSPORTATION BLVD,PO BOX 2418,llc,True,True,False,False,institutional,True,"['273 DAKOTA AV', '147 WEST PARK AV', '300 S DAKOTA AV', '107 S PRINCETON AV', '210 WEST PARK AV']",1.0,80,tier_1,"LLC entity (high investor probability); Institutional investor (40 properties); 80%+ properties are absentee-owned; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
HILLTOP HOMES II LLC,39,6002200.0,3443 AGLER RD,370 S 5TH ST SUITE 2,llc,True,True,False,False,institutional,True,"['189 S WARREN AV', '280 S HARRIS AV', '242 S OGDEN AV', '125 S HARRIS AV', '127 S HIGHLAND AV']",1.0,80,tier_1,"LLC entity (high investor probability); Institutional investor (39 properties); 80%+ properties are absentee-owned; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
DONAHEY PROPERTIES LLC,38,4959400.0,471 E BROAD ST SUITE 1520,471 E BROAD ST STE 1520,llc,True,True,False,True,institutional,True,"['496 S HARRIS AV', '2885 2889 BELLWOOD AV', '509 S HARRIS AV', '212 S HAGUE AV', '1272 E SIXTEENTH AV']",1.0,84,tier_1,"LLC entity (high investor probability); Institutional investor (38 properties); 80%+ properties are absentee-owned; Business address (suite/floor); Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
INN TOWN HOLDINGS II LLC,38,36019200.0,442 NORTHWOOD AVE,442 E NORTHWOOD AVE,llc,True,True,False,False,institutional,True,"['62 E THIRTEENTH AV', '190 FOURTEENTH AV', '35 39 E LANE AV', '34 E EIGHTEENTH AV', '119 121 NORWICH AV']",1.0,80,tier_1,"LLC entity (high investor probability); Institutional investor (38 properties); 80%+ properties are absentee-owned; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
SCHWARTZ RENTAL LLC,38,7295400.0,PO BOX 13256,74 GOLF ESTATES DR,llc,True,True,True,False,institutional,True,"['0 STELZER RD', '3410 E FIFTH AV', '3434 SEVENTH AV', '0 E SEVENTH AV', '0 E SEVENTH AV']",1.0,86,tier_1,"LLC entity (high investor probability); Institutional investor (38 properties); 80%+ properties are absentee-owned; PO Box address; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
CAPGROW HOLDINGS JV SUB IX LLC,38,7242600.0,320 N OHIO ST STE#650N,320 W OHIO ST STE 650,llc,True,True,False,True,institutional,True,"['3114 ELLIS PL', '110 S BURGESS AV', '0 N HALDY AV', '202 N HALDY AV', '176 N WESTMOOR AV']",0.9736842105263158,84,tier_1,"LLC entity (high investor probability); Institutional investor (38 properties); 80%+ properties are absentee-owned; Business address (suite/floor); Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
SOUTHERN GATEWAY HOMES LLC,37,2353200.0,5309 TRANSPORTATION BLVD,PO BOX 2418,llc,True,True,False,False,institutional,True,"['1827 S BRUCK ST', '86 BARTHMAN DR', '113 INNIS AV', '1865 S SIXTH ST', '149 E BARTHMAN AV']",1.0,80,tier_1,"LLC entity (high investor probability); Institutional investor (37 properties); 80%+ properties are absentee-owned; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
HWG PROPERTIES LLC,36,4703600.0,2163 SOUTH PARK AVENUE,PO BOX 9202,llc,True,True,False,False,institutional,True,"['1786 KENT ST', '181 N OAKLEY AV', '100 S WARREN AV', '422 S EUREKA AV', '1316 E FIFTEENTH AV']",1.0,80,tier_1,"LLC entity (high investor probability); Institutional investor (36 properties); 80%+ properties are absentee-owned; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
