owner_name,portfolio_size,total_market_value,owner_address,mailing_address,entity_type,is_investor_entity,has_investor_name,has_po_box,has_business_address,portfolio_category,is_portfolio_investor,sample_properties,absentee_ratio,investor_score,investor_tier,score_reasons,tier_description
UNIVERSITY VILLAGE SPE LLC,1126,83512500.0,6191 STATE HIGHWAY 161 STE 100,6191 N STATE HIGHWAY 161 STE 100,institution,False,False,False,True,institutional,True,"['485 HARLEY DR UNIT 01', '485 HARLEY DR UNIT 02', '485 HARLEY DR UNIT 03', '485 HARLEY DR UNIT 04', '485 HARLEY DR UNIT 05']",1.0,44,tier_3,Institutional investor (1126 properties); 80%+ properties are absentee-owned; Business address (suite/floor),Possible Investor - Worth contacting
STATE OF OHIO,309,2944816700.0,1534 N HIGH ST GATEWAY D 2ND FL,"GATEWAY D,   2ND FLOOR  1534 N HIGH ST",government,False,False,False,False,institutional,True,"['0 W TENTH AV', '692 E REYNOLDS AV', '2110 TUTTLE PARK PL', '701 E THIRD AV', '0 W ELEVENTH AV']",0.9676375404530745,40,tier_3,Institutional investor (309 properties); 80%+ properties are absentee-owned,Possible Investor - Worth contacting
COLUMBIA GAS OF OHIO INC,214,6098800.0,290 WEST NATIONWIDE BOULEVARD,PO BOX 9202,institution,False,False,False,False,institutional,True,"['34 S ROYS AV', '79 BRUNSON AV REAR', '1675 S HAMILTON RD REAR', '261 S JAMES RD REAR', '1207 BULEN AV REAR']",0.985981308411215,40,tier_3,Institutional investor (214 properties); 80%+ properties are absentee-owned,Possible Investor - Worth contacting
LENNOX FLATS LLC,194,37313800.0,10510 SPRINGBORO PIKE,10510 SPRINGBORO PIKE,llc,True,False,False,False,institutional,True,"['1798 LENNOX FLATS DR', '1800 LENNOX FLATS DR', '1802 LENNOX FLATS DR', '1804 LENNOX FLATS DR', '1806 LENNOX FLATS DR']",0.0,55,tier_3,LLC entity (high investor probability); Institutional investor (194 properties),Possible Investor - Worth contacting
CENTRAL OHIO COMMUNITY LAND TRUST CORPORATION,191,22705400.0,845 PARSONS AVE,901 CORPORATE CENTER DR,trust,True,False,False,False,institutional,True,"['1421 N FIFTH ST', '599 KELTON AV', '268 LECHNER AV', '289 N BURT ST', '1569 N ISABEL AV']",0.7696335078534031,53,tier_3,Trust entity (possible investor); Institutional investor (191 properties); 50%+ properties are absentee-owned,Possible Investor - Worth contacting
NATIONWIDE CHILDRENS HOSPITAL,189,1598434300.0,700 CHILDRENS DR,370 S 5TH ST STE 2,institution,False,False,False,False,institutional,True,"['646 648 CARPENTER ST', '858 S EIGHTEENTH ST', '635 E LIVINGSTON AV', '0 MONROE AV', '578 CARPENTER ST']",0.9947089947089947,40,tier_3,Institutional investor (189 properties); 80%+ properties are absentee-owned,Possible Investor - Worth contacting
AP GREENHILL VILLAGE LLC,178,17232000.0,62 W 45TH ST FL 5,62 W 45TH ST FL 5,llc,True,False,False,True,institutional,True,"['5543 N SIERRA RIDGE DR', '5545 N SIERRA RIDGE DR', '5547 N SIERRA RIDGE DR', '5549 N SIERRA RIDGE DR', '5551 N SIERRA RIDGE DR']",0.2247191011235955,59,tier_3,LLC entity (high investor probability); Institutional investor (178 properties); Business address (suite/floor),Possible Investor - Worth contacting
BISHOP HERRMANN EDWARD J,172,278536600.0,198 E BROAD ST,198 E BROAD ST,individual,False,False,False,False,institutional,True,"['0 E RATHMELL RD', '0 W BROAD ST', '60 E DOMINION BL', '0 OAKLAND PARK AV', '0 BARTHMAN AV']",0.9302325581395349,40,tier_3,Institutional investor (172 properties); 80%+ properties are absentee-owned,Possible Investor - Worth contacting
COLUMBUS TECHNICAL INSTITUTE BD OF TRS,160,125275100.0,8435 N STEMMONS FWY 99,550 E SPRING ST,institution,False,False,False,False,institutional,True,"['0 JEFFERSON ST', '0 N WASHINGTON AV', '0 JEFFERSON ST', '0 EDWARDS ST', '0 CLEVELAND AV REAR']",1.0,40,tier_3,Institutional investor (160 properties); 80%+ properties are absentee-owned,Possible Investor - Worth contacting
CAPITAL UNIVERSITY,160,168430500.0,303 E BROAD ST,1 COLLEGE AND MAIN,institution,False,True,False,False,institutional,True,"['38 S SIXTH ST', '0 E BROAD ST', '325 329 E BROAD ST', '303 E BROAD ST', '649 COLLEGE AV']",0.675,45,tier_3,"Institutional investor (160 properties); 50%+ properties are absentee-owned; Name contains investor keywords (Properties, Holdings, etc.)",Possible Investor - Worth contacting
