owner_name,portfolio_size,total_market_value,owner_address,mailing_address,entity_type,is_investor_entity,has_investor_name,has_po_box,has_business_address,portfolio_category,is_portfolio_investor,sample_properties,absentee_ratio,investor_score,investor_tier,score_reasons,tier_description
MAKO PROPERTY GROUP LLC,64,0,,,llc,True,True,False,False,institutional,True,"['4336 SIMPSON AVE', '1940 CLARION AVE', '234 GILMAN AVE', '914 LEXINGTON AVE', '1925 TRUITT AVE']",1.0,80,tier_1,"LLC entity (high investor probability); Institutional investor (64 properties); 80%+ properties are absentee-owned; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
MARIEMONT TOWNHOMES I LLC C/O CMC PROPERTIES,46,0,,,llc,True,True,False,False,institutional,True,"['6750 CHESTNUT ST', '3902 BEECH ST', '3926 BEECH ST', '6634 CHESTNUT ST', '6711 MURRAY AVE']",1.0,80,tier_1,"LLC entity (high investor probability); Institutional investor (46 properties); 80%+ properties are absentee-owned; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
GASLIGHT PROPERTY LLC,38,0,,,llc,True,True,False,False,institutional,True,"['3033 CLIFTON AVE', '3027 CLIFTON AVE', '3025 CLIFTON AVE', '2922 JEFFERSON AVE', '3225 BISHOP ST']",1.0,80,tier_1,"LLC entity (high investor probability); Institutional investor (38 properties); 80%+ properties are absentee-owned; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
PEAK ONE HOLDINGS LLC,33,0,,,llc,True,True,False,False,institutional,True,"['3548 MONTGOMERY RD', '803 LINCOLN AVE', '2873 STANTON AVE', '569 HALE AVE', '4435 READING RD']",1.0,80,tier_1,"LLC entity (high investor probability); Institutional investor (33 properties); 80%+ properties are absentee-owned; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
MARIEMONT TOWNHOMES II LLC C/O CMC PROPERTIES,31,0,,,llc,True,True,False,False,institutional,True,"['3937 PLAINVILLE RD', '6743 MAPLE ST', '6769 MAPLE ST', '6612 CHESTNUT ST', '6612 CHESTNUT ST']",1.0,80,tier_1,"LLC entity (high investor probability); Institutional investor (31 properties); 80%+ properties are absentee-owned; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
